,command,type,SequenceNumber,preamble,TimeofDay,AmbientTemperature,RelativeHumidity,BarometricPressure,WindSpeed,WindDirection,NumberofLoopsTemps,TimelineName1,Temperature1,TimelineName2,Temperature2,TimelineName3,Temperature3,TimelineName4,Temperature4,HeatIndex,DewPoint
127,$WÂ,NÂ,75Â,R.IÂ,1F6B5ED0Â,4FÂ,3CÂ,B62Â,3Â,0Â,4Â,T1TÂ,EF6Â,T2TÂ,E60Â,T3Â,FDCÂ,T4TÂ,F5AÂ,4FÂ,40
128,$WÂ,NÂ,76Â,R.IÂ,1F748708Â,4FÂ,3CÂ,B62Â,1Â,F0Â,4Â,T1TÂ,EF6Â,T2TÂ,E60Â,T3Â,FD2Â,T4TÂ,F5AÂ,4FÂ,40
129,$WÂ,NÂ,77Â,R.IÂ,1F7DBD64Â,4FÂ,3CÂ,B62Â,0Â,F0Â,4Â,T1TÂ,EECÂ,T2TÂ,E60Â,T3Â,FD2Â,T4TÂ,F64Â,4FÂ,40
130,$WÂ,NÂ,78Â,R.IÂ,1F86E8DAÂ,4FÂ,3DÂ,B62Â,1Â,F0Â,4Â,T1TÂ,EF6Â,T2TÂ,E6AÂ,T3Â,FD2Â,T4TÂ,F64Â,4FÂ,40
131,$WÂ,NÂ,79Â,R.IÂ,1F9007E4Â,4FÂ,3DÂ,B62Â,2Â,E0Â,4Â,T1TÂ,EF6Â,T2TÂ,E74Â,T3Â,FC8Â,T4TÂ,F6EÂ,4FÂ,40
132,$WÂ,NÂ,7AÂ,R.IÂ,1F9925AEÂ,4FÂ,3CÂ,B62Â,2Â,0Â,4Â,T1TÂ,EF6Â,T2TÂ,E74Â,T3Â,FD2Â,T4TÂ,F78Â,4FÂ,40
133,$WÂ,NÂ,7BÂ,R.IÂ,1FA24D64Â,4FÂ,3CÂ,B62Â,3Â,0Â,4Â,T1TÂ,F00Â,T2TÂ,E7EÂ,T3Â,FC8Â,T4TÂ,F78Â,4FÂ,40
134,$WÂ,NÂ,7CÂ,R.IÂ,1FAB7EA2Â,4FÂ,3CÂ,B62Â,4Â,0Â,4Â,T1TÂ,F00Â,T2TÂ,E88Â,T3Â,FD2Â,T4TÂ,F82Â,4FÂ,40
135,$WÂ,NÂ,7DÂ,R.IÂ,1FB4A55EÂ,4FÂ,3CÂ,B62Â,4Â,0Â,4Â,T1TÂ,F0AÂ,T2TÂ,E88Â,T3Â,FD2Â,T4TÂ,F8CÂ,4FÂ,40
136,$WÂ,NÂ,7EÂ,R.IÂ,1FBDD2F0Â,4FÂ,3BÂ,B62Â,4Â,0Â,4Â,T1TÂ,F14Â,T2TÂ,E92Â,T3Â,FD2Â,T4TÂ,F96Â,4FÂ,40
